"AÑO";"MES";"ID";"TIPOEDIFICIO";"EDIFICIO";"BARRIO";"CLASE";"GRUPO";"UNIDADES";"CONSUMO"
"2020";"3";"49";"Centros escolares";"CEIP Claudio Moyano";"VALLEHERMOSO";"Energia activa";"Activa Interruptor Gral";"kWh";"3182,7"
"2020";"3";"49";"Centros escolares";"CEIP Claudio Moyano";"VALLEHERMOSO";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"105,3"
"2020";"3";"49";"Centros escolares";"CEIP Claudio Moyano";"VALLEHERMOSO";"Gas";"Gas";"m3";"830,4"
"2020";"3";"278";"Centros escolares";"CEIP ConcepciÃ³n Arenal";"COMILLAS";"Energia activa";"Activa Interruptor Gral";"kWh";"7099"
"2020";"3";"278";"Centros escolares";"CEIP ConcepciÃ³n Arenal";"COMILLAS";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"1854"
"2020";"3";"278";"Centros escolares";"CEIP ConcepciÃ³n Arenal";"COMILLAS";"Gas";"Gas";"m3";"0"
"2020";"3";"582";"Centros escolares";"CEIP Isaac Peral";"PUERTA BONITA";"Energia activa";"Activa Interruptor Gral";"kWh";"2239,2"
"2020";"3";"582";"Centros escolares";"CEIP Isaac Peral";"PUERTA BONITA";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"1,8"
"2020";"3";"582";"Centros escolares";"CEIP Isaac Peral";"PUERTA BONITA";"Gas";"Gas";"m3";"1156,8"
"2020";"3";"1028";"Centros escolares";"CEIP MadroÃ±o";"NUMANCIA";"Energia activa";"Activa Interruptor Gral";"kWh";"1822"
"2020";"3";"1028";"Centros escolares";"CEIP MadroÃ±o";"NUMANCIA";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"54,3"
"2020";"3";"1028";"Centros escolares";"CEIP MadroÃ±o";"NUMANCIA";"Gas";"Gas";"m3";"1507,7"
"2020";"3";"116";"Centros escolares";"CEIP Ntra Sra de la Paloma";"PALACIO";"Energia activa";"Activa Interruptor Gral";"kWh";"5823,4"
"2020";"3";"116";"Centros escolares";"CEIP Ntra Sra de la Paloma";"PALACIO";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"0,8"
"2020";"3";"116";"Centros escolares";"CEIP Ntra Sra de la Paloma";"PALACIO";"Gas";"Gas";"m3";"1504,7"
"2020";"3";"167";"Centros escolares";"CEIP Ntra Sra Fuencisla";"ALMENDRALES";"Energia activa";"Activa Interruptor Gral";"kWh";"3479"
"2020";"3";"167";"Centros escolares";"CEIP Ntra Sra Fuencisla";"ALMENDRALES";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"110,4"
